Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCB","The thing to put it all on",1,2.00,"https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010","jlcpcb"
"LED","Lights up!",10,1.40,"https://www.digikey.com/en/products/detail/liteon/LTL-4231N/214440","Digikey"
"Resistor (1kohm)","Resist current flow of RV",1,0.10,"https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT1K00/1741314","Digikey"
"R (470ohm)","Resist current flow of LEDs",1,0.10,"https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT470R/1741440","Digikey"
"RV","Control speed of flashes",1,2.60,"https://www.digikey.com/en/products/detail/tt-electronics-bi/P091S-FC20BR10K/2408860","Digikey"
"C (1uF)","Hold electrical energy for trigger",,0.10,"https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/860020672005/5727088","Digikey"
"Conn_01x01_Socket","To power my circuit/debug",,0.61,"https://www.digikey.com/en/products/detail/samtec-inc/TS-101-G-AA/6691609","Digikey"
"Conn_01x02_Socket","To power my circuit/debug",1,0.10,"https://www.digikey.com/en/products/detail/harwin-inc/M50-3530242/7044013","Digikey"
"CD4017","Controls LED blinking based on input from 555",1,0.96,"https://www.digikey.com/en/products/detail/texas-instruments/CD40175BE/528407","Digikey"
"NE555P","Clock for the blinky",1,0.51,"https://www.digikey.com/en/products/detail/texas-instruments/NE555P/277057","Digikey"
